lon,lat
472551.0658,510671.7933
484349.3538,525562.5392
484468.0837,525640.0533
484139.9626,525665.3266
484197.4583,525695.927
484410.0819,525697.5808
507309.337,515324.6876
506032.0487,514835.2313
495434.9745,522954.3519
496259.5565,523177.0881
495501.5458,522748.5847
487529.1911,511888.3553
487390.976,511799.3469
500457.671,524462.7681
481721.8349,523090.5705
479642.01,518005.2996
479879.823,517404.5793
479687.744,517780.0839
505557.0625,508403.5848
463246.6077,520656.0347
463711.9834,516980.7676
464364.4695,516292.1996
477858.4733,511775.5918
500335.527,513485.3453
494728.9992,524097.0532
494594.2622,522983.5755
486615.9995,520872.0167
486129.922,520953.9484
486136.2736,521004.9882
478424.2179,521142.7764
478848.4822,516569.7423
504644.3315,523944.3606
483511.3628,518310.7303
484342.9637,518475.9504
484556.7403,518617.6448
483578.4561,517955.9565
475999.7229,513319.3059
475950.2375,513222.3935
476503.7889,513343.5334
469913.5883,510041.1374
469038.756,514854.2834
469125.3697,514835.8702
472149.9833,522706.929
472072.4349,522996.4534
471867.9894,522605.7134
490933.981,515768.1713
473125.8108,526849.3997
472220.1364,509764.7582
472287.5488,509854.0897
464316.6964,509847.7981
507215.9965,522648.9218
508166.8346,522892.5871
508845.1993,519814.6113
507591.0282,519919.9956
491360.7494,518853.3156
491440.6431,519041.0354
491477.7037,519058.8956
491862.411,519410.8534
486522.7768,520902.3446
486049.7431,529229.7375
461098.3273,522484.2443
461056.2323,505690.8027
466304.2513,498718.7622
466627.5369,498804.246
473141.7181,527059.0476
473136.1433,526947.702
472774.4436,526774.018
505302.9272,507530.6708
505275.1301,507540.9295
506317.8779,510091.0384
506358.5943,509967.839
506353.8039,509943.5605
506353.6863,509925.6389
506323.4698,510792.0049
506973.3592,522684.1495
463028.812,519790.377
463274.3124,519800.6692
478086.0462,494379.7904
468461.2234,500750.2663
474448.0832,516520.0329
474038.0585,516213.9251
485990.6653,505405.4312
485871.8041,505254.1079
485898.3243,505146.1941
485922.2952,505091.566
485874.5104,505059.5309
485861.2918,505028.4035
505300.9334,505386.4546
493940.1406,512960.9556
493333.5356,512444.2019
493802.9665,512881.9459
493364.2294,514316.8123
495256.1065,500357.7314
499868.6677,516969.0221
499782.9084,516837.9384
514770.0909,500641.9108
505042.8959,556439.8173
371339.6685,520215.3079
485142.0544,560567.2681
416202.0133,531139.9371
471971.3018,574205.1046
469423.2691,569928.7918
469355.3689,569257.3349
469634.5138,570162.6694
522870.9159,499210.6284
526919.888,501137.0641
526942.9589,500260.3631
527208.2767,500456.4668
529192.3883,501933.0155
529584.5963,500756.3907
531730.2056,502348.2955
542608.2138,484964.2373
499533.3015,572237.6988
469487.3264,563689.6124
466882.34,562873.8637
509061.0646,574962.4176
572837.8758,481073.477
501042.5699,572269.627
429062.7524,598855.6354
421020.6597,629048.2165
420386.5638,628672.9353
294343.133,502671.5229
494943.9588,608031.7297
504375.3027,605250.4856
501363.156,609988.9975
501749.7895,610141.8531
489746.3757,613780.7079
528217.8023,493127.0287
531736.3475,490490.9465
532822.4577,489880.0097
488887.4861,515487.6843
488547.7224,515669.701
521861.3134,533146.4419
493981.9129,491455.2243
503254.2052,500608.0071
522212.8994,487471.929
525397.8744,517603.622
517779.2217,503472.6347
517779.2217,501446.2321
521868.3557,497505.8507
523918.0087,499565.0385
522211.5533,489503.8288
520306.2022,483546.4593
515660.3384,503307.8602
388682.5742,577047.2582
395678.4277,594026.7422
524145.1976,501162.1014
322359.4203,608872.2969
322887.887,568112.4744
324554.6645,565263.4473
343082.3814,527738.9852
396833.6245,595799.7789
395972.9231,593600.2062
389414.9015,582386.0484
392027.4816,556698.2873
382180.5727,575302.8868
366930.8603,523281.3263
454727.3769,568248.1624
454947.0297,566556.8357
468389.1368,565021.8506
466646.1271,562640.5536
544836.078,569396.8276
543693.8837,567582.752
483563.3853,564983.6456
486092.3544,584642.9628
486002.8799,584111.3801
460658.5862,603407.3243
446877.5745,593602.8367
357024.1071,535370.9264
357163.8213,535383.6276
490818.3896,561249.5738
433599.8466,491514.0235
428849.8064,490113.9011
417959.9755,473587.2788
469608.0514,568852.8021
543727.5286,567492.0325
379464.8573,558766.29
393088.4023,556778.1689
377275.8302,551637.9636
377172.9078,551720.6693
380252.8623,545906.1008
388045.4604,545326.5617
390337.8531,544265.2056
390056.5982,544569.8985
390978.9209,542878.8727
395741.3891,537595.8837
392027.8839,536667.5683
389621.3744,545247.9767
389599.6969,545292.1185
389458.9333,545244.1472
370184.3876,523854.8535
373573.0837,524574.6842
486730.5028,571662.1446
486682.5302,570546.7665
486643.2159,570371.0103
465594.916,518952.7756
483713.9105,564033.6461
483749.7481,564099.8085
483806.2619,564119.106
484003.37,564142.5377
484436.6393,563322.7255
486503.2255,570445.6794
484317.6874,560962.0288
484143.8401,560190.8575
392904.6339,556844.4991
392897.5297,556853.824
373866.2615,521201.6588
373574.0798,521514.9799
372077.5224,517092.7371
368149.6165,521249.2628
366596.1177,524555.948
366004.8927,525293.9079
398197.4531,563879.9814
388653.9232,576874.8476
388968.7397,577888.4063
517345.4558,485410.6088
560221.0663,469301.3942
510309.3806,500939.2697
563639.0945,546279.1982
564837.644,534309.4754
471460.6361,513777.6244
476735.9324,494923.0428
501208.8022,574454.135
519982.2586,555801.6687
519543.4384,555975.2533
519793.7929,556227.9683
519819.7766,556296.3363
519785.0392,556897.6155
519780.0213,556881.0173
519804.3077,556225.1129
567490.8909,529474.6548
496737.207,494090.0825
