lon,lat,xcoord,ycoord
725919.2257,319280.9099,27.8332200004098,44.337952600142
722819.1176,316890.6247,27.7933449995724,44.317431699922
747098.4551,395549.8653,28.1357219995628,45.0165910003517
747439.3805,396219.5126,28.1403749999373,45.0224910002415
747589.6048,401463.1709,28.1448840000406,45.0695760000304
747250.2299,395921.9997,28.1378300004029,45.0198830003953
209000.8291,483337.9433,21.2560320002315,45.7886000001263
209430.0114,484059.8488,21.261108999453,45.7952670003904
823019.8573,419664.7818,29.1130039088895,45.2024545215926
504702.5827,431686.55,25.0600580005655,45.3852150000291
505271.5313,433064.5167,25.0673390003712,45.3976119999287
502810.6607,434001.2001,25.035908999448,45.4060560002659
502924.6409,433965.9171,25.0373649997537,45.405738000136
503152.4395,433913.3582,25.0402749997035,45.4052640001973
503162.7782,433900.2516,25.0404070005253,45.4051459999734
504549.0159,434193.4531,25.0581199999575,45.4077769998482
504516.1472,434295.8791,25.0577010001006,45.4086990000283
504436.6143,436191.811,25.0567020002848,45.425762000428
504405.032,436485.0266,25.0563010000094,45.4284010003024
504389.1141,436535.0181,25.0560980002217,45.4288510002629
504386.6658,436567.5737,25.0560669995908,45.4291440003795
504123.0267,436999.0844,25.0527009996353,45.4330289998629
508795.0098,430041.3168,25.1122940002086,45.3703689996223
598968.0262,681519.8048,26.3167790003749,47.6256640000454
510097.1194,425893.0756,25.1288339995351,45.3330190003128
510097.1194,425893.0756,25.1288339995351,45.3330190003128
510077.6574,427226.7747,25.1286130001016,45.3450219998901
503605.2849,437791.5857,25.0460890002808,45.4401640003529
504712.1843,432662.9397,25.0601899998508,45.3940020002262
504833.9057,430044.6799,25.0617189996177,45.3704379998683
504864.589,429765.8012,25.0621080001173,45.3679280002491
559688.5786,369091.619,25.7547539994652,44.8193759996177
528214.2662,238916.2615,25.3496570002971,43.649846000295
484840.0072,369868.0565,24.8082739994786,44.8287209998885
744778.4461,422187.593,28.1194520006021,45.2568659999863
581739.2062,297039.4393,26.0220074645885,44.1688047322509
217939.2193,396020.8224,21.4210180004166,45.0076790001626
217703.725,397717.867,21.4170750006194,45.0228349996511
234920.4433,425944.2247,21.6201790003088,45.2832289998056
459478.1738,439080.4634,24.4818820003264,45.4505919998398
589830.1331,696275.4722,26.1982178692626,47.7596710467687
446886.0532,441058.7595,24.3206709998329,45.4675469998809
458527.5265,425878.2683,24.4708430002752,45.3317259995897
459315.7287,425835.9969,24.4809029995268,45.3313920002972
460809.4474,424931.4283,24.5000330000432,45.323336999699
461493.6829,427470.7151,24.5085629995398,45.3462269999593
459541.8525,436855.5286,24.4828800005059,45.4305730000547
459387.8595,437600.8108,24.4808500001464,45.4372709997206
459325.7553,437879.46,24.4800329994114,45.4397750002135
459370.9509,438213.8618,24.4805830002389,45.44278700025
459335.9653,438258.9817,24.4801319996343,45.443191000108
459426.872,438876.2226,24.4812429997503,45.4487509999027
459430.3442,438905.0915,24.481285000235,45.4490110001849
459483.8758,439079.3153,24.4819549994431,45.4505820000568
459492.9619,439093.4799,24.4820699994026,45.4507099997723
459454.8899,439518.6521,24.4815479994056,45.4545340001558
459677.8508,436347.8311,24.4846599993998,45.4260120003255
459680.7987,435189.049,24.4847930002678,45.4155839997342
218791.1341,552693.6471,21.3407787196519,46.415813076898
361744.6683,321897.0778,23.2649000095236,44.3837900023144
220277.1225,554786.5231,21.3588333005783,46.4352303207569
238367.9104,596932.4614,21.5702201776249,46.8211500261439
192695.5949,520813.9212,21.0226234027522,46.1181581118522
192403.4782,522512.6895,21.0177510758373,46.1332853055753
192193.9608,522536.1517,21.0150289824069,46.133401721388
272376.7425,657694.1988,21.9850705268972,47.3796044192784
589563.4714,363053.0975,26.1313928706987,44.7618854251523
602582.5721,355613.6035,26.2943104375051,44.6931782729564
621355.9594,354545.8686,26.5308574953863,44.6806081961408
554252.1806,384590.3262,25.6876920183982,44.959291066367
569558.3034,712313.5548,25.930390525123,47.9063666429251
689342.6784,476524.7806,27.434664628273,45.7627529202046
690527.3758,504446.3912,27.4609644026572,46.0135183751719
226758.692,401810.6858,21.5295774803724,45.0631934314611
272481.5409,507143.1841,22.0604434434,46.0264831809149
295676.6669,408173.2373,22.4013992465158,45.14383502418
296045.3119,409064.5685,22.4057172315554,45.1519578425715
288317.9021,406020.9259,22.3088131747605,45.1222981681932
318355.8302,336660.2689,22.715447272634,44.5068702930054
321123.6291,344825.4147,22.7473676234614,44.5810113101565
452701.2232,298090.6679,24.40848830963,44.1813555108082
433720.1391,398932.4202,24.1579535846835,45.0873265389198
736706.3684,423841.8472,28.0174973763498,45.2745175118283
799620.2778,345128.6574,28.7711612891958,44.5431616066525
627485.3219,407504.8089,26.6216266600376,45.1560072002421
628172.3984,409566.0381,26.630896350611,45.1744266187331
296315.2522,409168.4183,22.409105237283,45.152970219137
269675.8115,650276.365,21.9531381361806,47.3120143302104
686938.7493,635704.3189,27.4674151434792,47.1946903719515
274569.5992,657577.0184,22.0141401021161,47.3793027919444
141865.4285,511012.5335,20.3738000104657,46.0054527801845
200680.7711,455961.9341,21.1660777878883,45.539094446609
562646.1287,310369.798,25.7849209997754,44.2906799997099
686921.668,634931.7407,27.4668710003967,47.1877499996057
686936.8873,635114.2047,27.4671469998088,47.1893860001288
823003.7152,419668.1255,29.1128010000843,45.2024919998352
686892.5771,634768.4211,27.4664200005538,47.186290000146
590141.7397,322846.9507,26.1315678898736,44.4000222060498
274258.8893,611428.318,22.0330099995804,46.9644700003886
273945.1086,611267.6536,22.0289699994017,46.9629200003226
