lon,lat,xcoord,ycoord
592950.4504,517001.5047,26.2034150005994,46.1466649998902
593719.8815,518202.4722,26.2136120005976,46.1573649996138
593108.64,517623.5014,26.2055847006012,46.1522396000454
593126.3247,517620.235,26.2058130004921,46.1522078001894
556748.1148,533705.4418,25.7367565996734,46.3009334002481
593108.64,517623.5014,26.2055847006012,46.1522396000454
594314.3069,526141.8007,26.222888799857,46.2287128997962
408347.3756,519137.5888,23.8129720003701,46.1660590004297
441448.2909,552002.6331,24.237548000223,46.4654099996334
557241.9385,533446.7081,25.7431359994204,46.2985639997813
589990.9435,521867.0052,26.1660290004715,46.1908369999889
585815.9345,515281.119,26.1107499995875,46.1321200001352
585815.9345,515281.119,26.1107499995875,46.1321200001352
409310.364,629154.6401,23.8039278996182,47.155898069908
408829.9543,629219.7192,23.797580070122,47.1564177299496
486520.6546,601051.2587,24.8230403006297,46.9091166999178
416106.8898,536084.1353,23.910444000463,46.319528000283
419829.4696,536212.0398,23.9587620003811,46.3211280000327
422664.5921,535219.5696,23.9957419998492,46.312526999681
530255.6965,576371.8012,25.395580000137,46.6865279996691
530111.7606,576400.4262,25.3936999999625,46.6867920001267
530233.3984,576410.5906,25.3952909996375,46.6868780001218
389180.2543,578002.4752,23.5508740005749,46.6927560002777
409521.7018,530612.7461,23.8259839998521,46.2694580004149
409525.9553,530624.1316,23.8260369997525,46.2695610003098
410898.4064,528352.3674,23.8442709995451,46.2493030000578
409710.1786,528552.9343,23.8288230001618,46.2509510001371
411818.1617,534586.6003,23.8550339995688,46.3055120001659
416771.5426,535392.6086,23.9191969998521,46.3133880001972
418508.2385,537914.0494,23.9413099998338,46.3362840002306
521492.0254,460361.4252,25.2757420003482,45.6429550003702
572578.8771,481215.1839,25.9342680005098,45.8271310003741
572861.358,481295.7369,25.9379160003319,45.8278259999354
356873.8037,449046.4176,23.1674129995212,45.5267009999668
356915.1892,448891.8445,23.1679879998557,45.5253190001396
356777.7385,448816.5157,23.1662509994852,45.5246130000633
356922.6073,453879.2643,23.1666190003656,45.5701869996224
356458.7192,453486.9608,23.1607930003055,45.5665620000359
364996.4428,447379.6974,23.271834999408,45.5133339999258
364057.3306,446978.2244,23.2599300005706,45.5095390003629
362543.0361,446714.2353,23.2406290004279,45.5068660002083
486520.6546,601051.2587,24.8230403006297,46.9091166999178
482505.1009,628983.2996,24.7692519996247,47.1603119999347
357689.6956,464155.0871,23.1734349998029,45.6627850003848
359021.7147,463571.2892,23.1906940006092,45.657805999908
359180.738,462455.0724,23.1930579999544,45.6477970003849
361031.3939,460425.8228,23.2173759997208,45.6299159998132
363741.1736,459405.9782,23.2524080003255,45.6212800001001
363892.0792,459611.879,23.2542849998232,45.6231620001381
363899.4579,459621.1662,23.2543769997256,45.6232469998923
481888.5122,619893.4736,24.7614819995703,47.0785220000621
480526.0491,620157.1864,24.7435279997391,47.0808559998598
491929.1687,631113.1011,24.8935119996378,47.1796530000536
320378.4332,447820.3053,22.7008640003111,45.507189999896
369626.6216,443061.5189,23.3322359995545,45.4753699997421
360774.1781,449206.2311,23.2172870002104,45.5289320002915
356961.2077,449075.8734,23.1685229996119,45.5269839998724
357517.3194,465017.7646,23.170970000226,45.6705100000831
357667.9052,464224.7286,23.1731349998851,45.6634069995493
358511.6027,463660.5689,23.1841239993855,45.6585049998246
361786.5506,459641.5709,23.2272820000076,45.6230120002992
363796.4752,459537.9365,23.2530799997387,45.6224780001383
363912.3336,459589.3159,23.2545510000975,45.6229629999376
357247.1602,465416.8085,23.1673860005071,45.6740440001769
356284.2826,461380.6288,23.1562259995291,45.6375359997714
572737.0729,481260.6032,25.9363109997038,45.827522999881
572968.4163,481262.9898,25.9392889994771,45.8275199997245
571177.4739,481387.7426,25.9162560002929,45.8288299996765
467244.198,560001.5691,24.5728865999935,46.5391211002226
500642.7623,572100.4271,25.0083980003928,46.6487759997582
494828.7565,550126.8993,24.9326790001693,46.4510440002203
458635.6456,465983.8965,24.468824000465,45.6926489997481
458546.5655,466055.4979,24.4676740005951,45.693288000429
458535.8836,466065.2368,24.4675359996916,45.6933749995883
499385.054,548163.9691,24.9919969994613,46.433401000194
499326.2455,548620.409,24.991231000353,46.4375080004384
498882.7404,549343.9674,24.9854569999355,46.4440180001036
499796.5548,548932.8885,24.9973519993878,46.4403199998607
490240.2649,547321.6721,24.8730030006481,46.4257520003169
469578.7732,511742.7489,24.6064448400425,46.1049932000406
469371.5884,570951.1524,24.599904999582,46.637739799582
469271.8849,570715.6327,24.5986181996431,46.6356161996517
469257.4129,569854.0349,24.5984861998862,46.6278633995795
490504.3914,556186.0627,24.8762599997275,46.5055170000338
500743.991,560470.5173,25.0097020006312,46.5441339997159
500926.0415,559953.5261,25.0120749999845,46.5394820002992
465183.7213,464133.9334,24.5530410001899,45.6763620003672
460648.2081,461552.5759,24.4950270004866,45.6528889999493
498892.5117,551115.3621,24.9855799994435,46.4599569999267
495521.9576,547650.136,24.9417269995926,46.428763000027
495094.2173,546961.7594,24.9361680000856,46.4225659996727
488464.9586,548669.2913,24.849868999865,46.4378500003672
496077.1645,567395.3945,24.9487860005743,46.6064310001273
493934.3503,565464.9852,24.920835999551,46.5890460003722
495128.9754,567974.1231,24.9364009998811,46.6116319999165
495216.7546,569635.0526,24.9375299996744,46.6265769995759
495205.4954,569630.5048,24.937382999618,46.6265360004267
495205.4954,569630.5048,24.937382999618,46.6265360004267
494350.2403,567346.8541,24.9262410001597,46.6059819995904
497403.8899,566654.71,24.9661109999785,46.5997730001764
